,time,vehiclestatus,chargestatus,runmodel,speed,summileage,sumvoltage,sumcurrent,soc,dcdcstatus,gearnum,insulationresistance,max_volt_num,max_volt_cell_id,max_cell_volt,min_volt_num,min_volt_cell_id,min_cell_volt,max_temp_num,max_temp_probe_id,max_temp,min_temp_num,min_temp_probe_id,min_temp,power,distince,distance
105,01-10 01,1,3,1,0.0,39938.0,395.0,0.9,99,1,15,5157,1,45,4.12,1,32,4.102,1,17,6,1,24,5,355.5,0.0,0.0
106,01-10 01,1,3,1,0.0,39938.0,395.0,19.6,99,1,13,5157,1,45,4.12,1,32,4.1,1,17,6,1,24,5,7742.000000000001,0.0,0.0
107,01-10 01,1,3,1,3.0,39938.0,394.7,3.9,99,1,13,5100,1,76,4.1160000000000005,1,32,4.097,1,17,6,1,24,5,1539.33,0.0,0.0
108,01-10 01,1,3,1,2.3,39938.0,394.7,15.8,99,1,13,5100,1,76,4.1160000000000005,1,32,4.102,1,17,6,1,24,5,6236.26,0.0,0.0
109,01-10 01,1,3,1,0.0,39938.0,394.7,13.9,99,1,14,5117,1,76,4.117,1,32,4.101,1,17,6,1,24,5,5486.33,0.0,0.0
110,01-10 01,1,3,1,0.2,39938.0,394.7,2.4,99,1,14,5117,1,76,4.117,1,32,4.097,1,17,6,1,24,5,947.28,0.0,0.0
111,01-10 01,1,3,1,0.0,39938.0,394.7,18.4,98,1,15,5205,1,17,4.117,1,32,4.099,1,17,6,1,24,5,7262.48,0.0,0.0
112,01-10 01,1,3,1,0.0,39938.0,394.7,1.5,98,1,15,5205,1,17,4.1160000000000005,1,32,4.097,1,17,6,1,24,5,592.05,0.0,0.0
113,01-10 01,1,3,1,0.0,39938.0,394.7,3.3,98,1,15,5167,1,17,4.1160000000000005,1,32,4.099,1,17,6,1,24,5,1302.51,0.0,0.0
114,01-10 01,1,3,1,0.0,39938.0,394.7,3.8,98,1,15,5167,1,76,4.1160000000000005,1,47,4.097,1,17,6,1,24,5,1499.86,0.0,0.0
115,01-10 01,1,3,1,0.0,39938.0,394.7,0.9,98,1,15,5167,1,76,4.117,1,47,4.101,1,17,6,1,24,5,355.23,0.0,0.0
116,01-10 01,1,3,1,0.0,39938.0,394.7,5.7,98,1,15,5177,1,76,4.1160000000000005,1,47,4.101,1,17,6,1,24,5,2249.79,0.0,0.0
117,01-10 01,1,3,1,0.0,39938.0,394.7,1.3,98,1,15,5177,1,76,4.117,1,47,4.098,1,17,6,1,24,5,513.11,0.0,0.0
118,01-10 01,1,3,1,0.0,39938.0,394.7,7.8,98,1,15,5177,1,17,4.115,1,95,4.099,1,17,6,1,24,5,3078.66,0.0,0.0
119,01-10 01,1,3,1,0.0,39938.0,394.7,1.4,98,1,15,5240,1,17,4.1160000000000005,1,95,4.097,1,17,6,1,24,5,552.5799999999999,0.0,0.0
